Winkel,Reichweite,Toleranz
0,5.711372491708257,10.0
10.0,7.631769449966844,10.0
20.0,9.564061110439223,10.0
30.0,11.04333410149207,10.0
40.0,11.677975064205308,10.0
40.0,11.677975064205308,5.0
40.0,11.677975064205308,2.5
40.0,11.677975064205308,1.25
41.25,11.684521284054396,1.25
41.25,11.684521284054396,0.625
41.25,11.684521284054396,0.3125
41.25,11.684521284054396,0.15625
41.09375,11.684642844250305,0.15625
41.09375,11.684642844250305,0.078125
41.09375,11.684642844250305,0.0390625
41.09375,11.684642844250305,0.01953125
41.09375,11.684642844250305,0.009765625
41.103515625,11.684643146516501,0.009765625
41.103515625,11.684643146516501,0.0048828125
41.103515625,11.684643146516501,0.00244140625
41.10107421875,11.684643169644,0.00244140625
41.10107421875,11.684643169644,0.001220703125
41.10107421875,11.684643169644,0.0006103515625
41.1016845703125,11.684643170030679,0.0006103515625
41.1016845703125,11.684643170030679,0.00030517578125
41.10137939453125,11.68464317035138,0.00030517578125
41.10137939453125,11.68464317035138,0.000152587890625
41.10137939453125,11.68464317035138,7.62939453125e-05
41.10145568847656,11.68464317036759,7.62939453125e-05
41.10145568847656,11.68464317036759,3.814697265625e-05
41.10145568847656,11.68464317036759,1.9073486328125e-05
41.101436614990234,11.684643170369561,1.9073486328125e-05
41.101436614990234,11.684643170369561,9.5367431640625e-06
